"x";"y";"moran";"distance";"entropy";"slope"
"553";901;151;NA;NA;NA;NA
"554";951;151;NA;NA;NA;NA
"555";1001;151;NA;NA;NA;NA
"556";1051;151;NA;NA;NA;NA
"557";1101;151;NA;NA;NA;NA
"558";1151;151;NA;NA;NA;NA
"559";1201;151;NA;NA;NA;NA
"560";1251;151;NA;NA;NA;NA
"561";1301;151;NA;NA;NA;NA
"562";1351;151;NA;NA;NA;NA
"563";1401;151;NA;NA;NA;NA
"564";1451;151;NA;NA;NA;NA
"565";1501;151;NA;NA;NA;NA
"566";1551;151;NA;NA;NA;NA
"567";1601;151;NA;NA;NA;NA
"568";1651;151;NA;NA;NA;NA
"569";1701;151;NA;NA;NA;NA
"570";1751;151;NA;NA;NA;NA
"571";1801;151;NA;NA;NA;NA
"572";1851;151;NA;NA;NA;NA
"573";1901;151;NA;NA;NA;NA
"574";1951;151;NA;NA;NA;NA
"575";2001;151;NA;NA;NA;NA
